disease,description,precautions,medications
Fungal infection,"A common skin condition caused by various types of fungi, often appearing as itchy, red, scaly patches. It can affect the skin, nails, and hair. Common examples include athlete's foot and ringworm.","Keep skin clean and dry, especially in folded areas.; Avoid sharing towels, clothing, or personal care items.; Wear breathable, loose-fitting clothes.","Typically treated with over-the-counter or prescription antifungal creams, ointments, or oral medications, as advised by a dermatologist."
Allergy,"An overreaction of the immune system to substances (allergens) that are normally harmless, such as pollen, dust mites, or certain foods. Symptoms can range from mild sneezing to severe anaphylaxis.","Identify and avoid known allergens.; Use air purifiers and wash bedding regularly to reduce indoor allergens.; Carry an epinephrine auto-injector if at risk for severe reactions.","Treatment includes antihistamines, decongestants, and nasal steroids. A doctor may recommend immunotherapy (allergy shots) for long-term management."
GERD,"Gastroesophageal Reflux Disease is a chronic condition where stomach acid frequently flows back into the esophagus, causing irritation, heartburn, and potential long-term damage.","Avoid large meals, especially before bedtime.; Elevate the head of your bed by 6-8 inches.; Limit trigger foods like spicy, fatty, acidic foods, caffeine, and alcohol.","May include over-the-counter antacids, H2 blockers (like Famotidine), or Proton Pump Inhibitors (PPIs) such as Omeprazole, prescribed by a physician."
Chronic cholestasis,"A liver disease where the flow of bile is impaired for an extended period, leading to a buildup of bilirubin. This can cause jaundice, severe itching, and fatigue.","Follow a low-fat diet as recommended by a doctor.; Avoid alcohol and unnecessary medications that can harm the liver.; Stay hydrated and manage itching with medical advice.","Treatment targets the underlying cause and manages symptoms. May include medications like Ursodeoxycholic acid (UDCA) and vitamin supplements, under specialist care."
Drug Reaction,"An adverse and unintended response to a medication. Reactions can be mild, like a skin rash, or severe and life-threatening, such as anaphylaxis or Stevens-Johnson syndrome.","Always inform your doctor of all medications and supplements you are taking.; Be aware of common side effects of new medications.; Seek immediate medical attention for severe symptoms like difficulty breathing or swelling.","Treatment involves stopping the offending drug immediately. Mild reactions may be treated with antihistamines or corticosteroids. Severe reactions require emergency medical intervention."
Peptic ulcer diseae,"A condition characterized by open sores (ulcers) that develop on the inside lining of the stomach and the upper portion of the small intestine. Often caused by H. pylori bacteria or long-term use of NSAIDs.","Avoid smoking and excessive alcohol consumption.; Manage stress effectively.; Avoid foods that irritate your stomach, like spicy or acidic foods.","Treatment often includes antibiotics to kill H. pylori, and medications that block acid production like PPIs or H2 blockers. Lifestyle changes are crucial."
AIDS,"Acquired Immunodeficiency Syndrome (AIDS) is the most advanced stage of HIV infection. It severely damages the immune system, making the body vulnerable to opportunistic infections and cancers.","Practice safe sex by using condoms.; Do not share needles or syringes.; If pregnant with HIV, seek medical care to prevent transmission to the baby.","There is no cure, but Antiretroviral therapy (ART) can manage the virus effectively, allowing people to live long, healthy lives. Treatment is complex and managed by specialists."
Diabetes,"A chronic metabolic disorder characterized by high blood sugar levels. Type 1 is an autoimmune condition, while Type 2 is often related to lifestyle and insulin resistance.","Monitor blood glucose levels regularly.; Maintain a healthy diet with controlled carbohydrate intake.; Engage in regular physical activity.","Treatment may include insulin injections (especially for Type 1), oral medications like Metformin (for Type 2), and significant lifestyle modifications."
Gastroenteritis,"An inflammation of the stomach and intestines, typically caused by viral or bacterial infections. It's often called the ""stomach flu,"" leading to diarrhea, vomiting, and abdominal cramps.","Practice good hand hygiene, washing hands frequently with soap and water.; Avoid contaminated food and water.; Ensure food is cooked thoroughly.","Treatment focuses on staying hydrated with water or electrolyte solutions. Rest is important. In severe bacterial cases, a doctor may prescribe antibiotics."
Bronchial Asthma,"A chronic respiratory condition where the airways become inflamed, narrow, and swell, producing extra mucus. This can make breathing difficult and trigger coughing, wheezing, and shortness of breath.","Identify and avoid asthma triggers (e.g., pollen, smoke, dust mites).; Follow a doctor-prescribed asthma action plan.; Use an air purifier in your home.","Treatment includes long-term control medications (like inhaled corticosteroids) and quick-relief 'rescue' inhalers (like Albuterol) for attacks."
Hypertension,"Commonly known as high blood pressure, this is a condition where the force of blood against the artery walls is consistently too high, which can lead to severe health complications like heart disease and stroke.","Reduce sodium (salt) intake.; Eat a balanced diet rich in fruits, vegetables, and whole grains.; Engage in regular physical activity and manage stress.","Lifestyle changes are primary. A doctor may prescribe medications such as ACE inhibitors, beta-blockers, calcium channel blockers, or diuretics."
